txn_id,user_id,txn_date,amount,ingestion_date
59,136,2024-02-15,1975,2024-02-15
60,134,2024-02-27,2806,2024-02-27
61,136,2024-02-02,2381,2024-02-03
62,442,2024-02-01,4517,2024-02-02
63,167,2024-02-16,4820,2024-03-02
64,342,2024-01-16,3434,2024-01-23
65,197,2024-01-07,3631,2024-01-07
66,281,2024-01-28,3925,2024-02-02
67,473,2024-01-04,596,2024-01-04
68,306,2024-02-16,995,2024-02-19
69,227,2024-01-13,4493,2024-01-14
70,329,2024-01-09,1603,2024-01-14
71,242,2024-01-30,717,2024-01-31
72,326,2024-02-21,902,2024-03-02
73,125,2024-02-11,220,2024-02-21
74,147,2024-02-29,1462,2024-03-01
75,308,2024-02-01,1851,2024-02-08
76,305,2024-02-27,1448,2024-02-27
77,294,2024-01-01,2272,2024-01-06
78,332,2024-01-19,4652,2024-01-24
79,438,2024-02-15,1368,2024-02-22
80,197,2024-01-19,579,2024-01-20
81,396,2024-02-17,599,2024-02-27
82,482,2024-01-21,510,2024-01-21
83,399,2024-01-31,4450,2024-02-10
84,180,2024-01-04,756,2024-01-14
85,195,2024-01-05,656,2024-01-20
86,445,2024-02-25,3407,2024-02-26
87,161,2024-02-26,2116,2024-03-12
88,396,2024-02-08,771,2024-02-08
89,314,2024-02-12,4730,2024-02-27
90,367,2024-01-21,1773,2024-01-23
91,442,2024-02-15,2055,2024-02-18
92,235,2024-01-26,2557,2024-01-26
93,334,2024-01-21,176,2024-01-21
94,334,2024-02-09,919,2024-02-24
95,137,2024-02-04,4244,2024-02-05
96,235,2024-01-09,663,2024-01-12
97,225,2024-01-24,1392,2024-01-26
98,324,2024-02-23,2578,2024-03-04
99,413,2024-02-21,164,2024-03-02
100,441,2024-02-22,2552,2024-03-03
101,439,2024-01-07,2266,2024-01-07
102,159,2024-02-26,4632,2024-02-26
103,179,2024-01-18,1825,2024-01-20
104,467,2024-01-22,2262,2024-01-23
105,358,2024-02-01,516,2024-02-03
106,147,2024-02-10,2366,2024-02-15
107,122,2024-01-01,1171,2024-01-04
108,426,2024-01-17,3719,2024-01-17
109,382,2024-02-15,4694,2024-02-20
110,104,2024-01-08,1321,2024-01-08
111,379,2024-01-03,4871,2024-01-06
112,382,2024-01-10,1144,2024-01-15
113,121,2024-01-20,426,2024-01-23
114,283,2024-01-14,942,2024-01-15
115,281,2024-02-19,3429,2024-02-29
116,417,2024-02-17,2039,2024-02-17
117,183,2024-02-21,3477,2024-02-21
118,112,2024-01-12,3472,2024-01-15
119,442,2024-02-25,2285,2024-02-26
120,181,2024-02-20,3233,2024-02-20
121,119,2024-02-24,1922,2024-03-02
122,202,2024-02-22,2964,2024-02-29
123,256,2024-02-22,1926,2024-02-23
124,112,2024-02-12,3364,2024-02-13
125,268,2024-01-18,2386,2024-01-18
126,279,2024-02-11,3374,2024-02-21
127,447,2024-02-23,2812,2024-03-04
128,114,2024-01-08,1562,2024-01-10
129,397,2024-01-17,988,2024-01-17
130,405,2024-01-28,2669,2024-01-31
131,323,2024-02-08,1047,2024-02-18
132,297,2024-02-27,1657,2024-03-13
133,230,2024-01-03,113,2024-01-08
134,366,2024-02-29,1714,2024-03-10
135,286,2024-01-28,2804,2024-01-28
136,419,2024-01-21,2560,2024-01-21
137,359,2024-01-20,2772,2024-01-25
138,306,2024-02-14,4641,2024-02-16
139,165,2024-01-13,3205,2024-01-18
140,446,2024-02-17,4762,2024-02-17
141,254,2024-01-26,103,2024-02-05
142,255,2024-01-19,3621,2024-01-20
143,396,2024-02-08,3909,2024-02-11
144,326,2024-01-29,4287,2024-01-30
145,342,2024-02-20,794,2024-02-20
146,245,2024-02-02,2845,2024-02-17
147,147,2024-02-22,2642,2024-02-23
148,215,2024-02-21,1307,2024-02-22
149,112,2024-01-03,3992,2024-01-04
150,412,2024-02-24,3830,2024-02-24
151,312,2024-02-26,1692,2024-03-12
152,467,2024-02-14,4149,2024-02-19
153,304,2024-01-16,145,2024-01-16
154,484,2024-02-25,3582,2024-02-25
155,212,2024-01-12,3905,2024-01-22
156,125,2024-02-05,1094,2024-02-06
157,333,2024-01-09,4451,2024-01-16
158,386,2024-02-08,3725,2024-02-11
159,413,2024-02-22,3595,2024-03-03
160,380,2024-01-29,3988,2024-01-29
161,330,2024-01-17,2371,2024-01-18
162,492,2024-02-19,4069,2024-02-29
163,420,2024-01-16,3703,2024-01-18
164,139,2024-02-15,2020,2024-02-17
165,239,2024-01-22,4524,2024-01-25
166,141,2024-01-09,1994,2024-01-09
167,296,2024-02-14,1852,2024-02-14
168,132,2024-01-27,2810,2024-02-01
169,377,2024-01-30,610,2024-02-04
170,205,2024-02-23,3290,2024-02-28
171,494,2024-02-07,4816,2024-02-07
172,294,2024-01-31,2981,2024-01-31
173,252,2024-02-18,3532,2024-02-23
174,375,2024-02-17,1906,2024-02-27
175,349,2024-01-15,3670,2024-01-17
176,348,2024-01-02,2853,2024-01-07
177,442,2024-02-13,1452,2024-02-18
178,339,2024-02-28,4475,2024-02-28
179,113,2024-02-28,4948,2024-03-04
180,388,2024-02-12,787,2024-02-12
181,429,2024-01-28,3882,2024-01-28
182,193,2024-01-04,3205,2024-01-06
183,267,2024-01-14,2777,2024-01-21
184,272,2024-02-18,2379,2024-02-23
185,485,2024-02-23,2166,2024-02-28
186,141,2024-01-31,4518,2024-01-31
187,126,2024-01-23,662,2024-01-24
188,499,2024-02-11,354,2024-02-11
189,226,2024-01-13,1348,2024-01-13
190,222,2024-01-09,1037,2024-01-16
191,388,2024-01-14,2199,2024-01-21
192,492,2024-01-24,1038,2024-01-24
193,498,2024-02-22,2648,2024-02-22
194,155,2024-02-07,2655,2024-02-07
195,394,2024-02-13,3349,2024-02-18
196,466,2024-01-13,4950,2024-01-13
197,453,2024-02-23,934,2024-02-24
198,456,2024-02-19,1091,2024-02-21
199,389,2024-02-20,2944,2024-02-20
200,372,2024-01-28,664,2024-01-31
201,359,2024-02-11,203,2024-02-14
202,315,2024-02-22,964,2024-02-29
203,321,2024-01-24,1353,2024-01-31
204,322,2024-01-12,2312,2024-01-22
205,415,2024-02-21,4060,2024-03-02
206,338,2024-01-28,2298,2024-02-12
207,265,2024-02-24,809,2024-02-25
208,242,2024-02-26,2097,2024-03-04
209,484,2024-01-30,3204,2024-02-14
210,272,2024-01-02,2762,2024-01-09
211,193,2024-02-01,3006,2024-02-02
212,232,2024-01-22,4983,2024-01-24
213,459,2024-02-26,4653,2024-02-28
214,105,2024-02-03,801,2024-02-04
215,223,2024-02-16,4102,2024-02-21
216,384,2024-02-18,4000,2024-02-19
217,430,2024-02-15,3771,2024-02-22
218,108,2024-01-06,1915,2024-01-08
219,307,2024-02-14,2608,2024-02-15
220,439,2024-02-07,3976,2024-02-10
221,383,2024-02-03,3585,2024-02-06
222,481,2024-02-05,2982,2024-02-08
223,459,2024-01-30,2611,2024-02-01
224,228,2024-01-15,1677,2024-01-15
225,261,2024-01-08,1616,2024-01-18
226,198,2024-01-14,2365,2024-01-21
227,470,2024-02-07,4988,2024-02-17
228,244,2024-01-07,2526,2024-01-08
229,216,2024-01-24,2576,2024-01-24
230,107,2024-02-15,1136,2024-02-25
231,240,2024-01-03,4633,2024-01-03
232,249,2024-02-14,4121,2024-02-14
233,152,2024-02-25,4802,2024-02-25
234,245,2024-01-31,3708,2024-02-07
235,274,2024-01-12,2168,2024-01-12
236,344,2024-01-08,3382,2024-01-08
237,351,2024-01-05,539,2024-01-20
238,177,2024-01-10,2589,2024-01-25
239,143,2024-01-16,4671,2024-01-16
240,491,2024-01-27,4983,2024-02-11
241,416,2024-01-15,3216,2024-01-25
242,330,2024-02-28,2535,2024-03-06
243,401,2024-01-28,4758,2024-01-30
244,417,2024-01-04,912,2024-01-19
245,490,2024-01-14,2267,2024-01-15
246,438,2024-01-06,2064,2024-01-06
247,188,2024-02-05,1382,2024-02-05
248,101,2024-01-27,4964,2024-02-03
249,340,2024-01-19,1996,2024-01-19
250,247,2024-02-15,3819,2024-02-17
251,136,2024-02-13,2267,2024-02-14
252,420,2024-02-07,3582,2024-02-08
253,158,2024-02-04,1320,2024-02-05
254,236,2024-02-22,684,2024-02-22
255,130,2024-01-11,4974,2024-01-13
256,483,2024-02-22,2464,2024-03-08
257,324,2024-01-08,2591,2024-01-15
258,458,2024-01-26,4199,2024-01-28
259,376,2024-02-01,758,2024-02-08
260,406,2024-01-03,2740,2024-01-08
261,409,2024-01-17,848,2024-01-17
262,217,2024-02-13,4909,2024-02-28
263,110,2024-02-18,4820,2024-02-20
264,120,2024-02-18,3954,2024-02-18
265,365,2024-02-11,2378,2024-02-18
266,192,2024-02-07,4128,2024-02-12
267,146,2024-01-31,3445,2024-02-03
268,270,2024-01-21,1417,2024-01-21
269,268,2024-01-27,2461,2024-02-03
270,439,2024-01-26,400,2024-02-05
271,332,2024-01-06,2167,2024-01-09
272,265,2024-01-08,4315,2024-01-13
273,100,2024-02-12,3884,2024-02-22
274,311,2024-01-04,4347,2024-01-05
275,285,2024-02-09,3721,2024-02-16
276,489,2024-01-04,2287,2024-01-05
277,381,2024-01-09,3689,2024-01-11
278,457,2024-02-01,336,2024-02-01
279,422,2024-02-08,1397,2024-02-09
280,259,2024-02-05,4624,2024-02-05
281,308,2024-01-06,1029,2024-01-07
282,336,2024-01-08,4182,2024-01-08
283,466,2024-01-19,2339,2024-01-29
284,312,2024-02-23,3968,2024-03-01
285,224,2024-01-30,1284,2024-02-09
286,296,2024-01-13,4263,2024-01-28
287,482,2024-02-26,671,2024-02-26
288,241,2024-02-19,2884,2024-02-24
289,359,2024-01-18,2417,2024-01-18
290,471,2024-01-20,4850,2024-02-04
291,437,2024-02-01,3758,2024-02-01
292,375,2024-01-31,2823,2024-02-03
293,382,2024-02-18,3190,2024-02-28
294,333,2024-02-29,1645,2024-03-03
295,457,2024-01-16,3237,2024-01-31
296,219,2024-02-24,457,2024-02-29
297,262,2024-02-17,3223,2024-02-24
298,297,2024-02-12,4157,2024-02-12
299,118,2024-01-09,4934,2024-01-19
300,269,2024-02-25,3706,2024-02-25
301,151,2024-02-03,225,2024-02-10
302,469,2024-01-10,1364,2024-01-15
303,138,2024-01-31,2873,2024-02-02
304,419,2024-02-14,757,2024-02-19
305,268,2024-02-24,3213,2024-03-05
306,262,2024-02-10,4532,2024-02-17
307,118,2024-02-09,2023,2024-02-09
308,423,2024-02-13,1963,2024-02-15
309,482,2024-01-06,906,2024-01-11
310,489,2024-02-10,3734,2024-02-10
311,185,2024-02-14,337,2024-02-16
312,123,2024-01-21,2503,2024-01-21
313,283,2024-01-24,1292,2024-01-29
314,225,2024-02-03,4736,2024-02-08
315,449,2024-02-20,1492,2024-02-20
316,189,2024-01-06,3233,2024-01-21
317,417,2024-02-13,4176,2024-02-14
318,398,2024-01-10,3877,2024-01-11
319,426,2024-01-17,2191,2024-01-24
320,441,2024-01-01,2456,2024-01-08
321,446,2024-02-04,705,2024-02-04
322,326,2024-01-23,2550,2024-02-07
323,427,2024-01-28,3842,2024-01-30
324,254,2024-01-13,4058,2024-01-18
325,154,2024-01-16,4785,2024-01-21
326,283,2024-02-06,2518,2024-02-08
327,111,2024-02-23,2348,2024-02-28
328,104,2024-02-06,4169,2024-02-06
329,246,2024-02-19,2986,2024-02-20
330,212,2024-02-10,2153,2024-02-11
331,447,2024-02-18,895,2024-02-18
332,421,2024-02-11,2630,2024-02-11
333,325,2024-01-03,3088,2024-01-18
334,474,2024-01-09,2517,2024-01-09
335,267,2024-02-17,1538,2024-02-22
336,202,2024-01-09,3097,2024-01-19
337,371,2024-02-02,1447,2024-02-04
338,231,2024-02-28,2517,2024-03-06
339,482,2024-02-25,1043,2024-02-28
340,339,2024-01-05,1948,2024-01-05
341,446,2024-02-16,4665,2024-02-21
342,287,2024-01-06,214,2024-01-11
343,235,2024-02-04,3825,2024-02-04
344,288,2024-02-13,4888,2024-02-15
345,295,2024-02-22,987,2024-02-25
346,445,2024-01-15,305,2024-01-22
347,417,2024-02-26,2787,2024-03-07
348,412,2024-01-15,3903,2024-01-15
349,458,2024-01-20,1055,2024-01-25
350,171,2024-01-03,2593,2024-01-03
351,352,2024-01-08,2023,2024-01-08
352,375,2024-01-09,3816,2024-01-14
353,289,2024-02-12,3533,2024-02-22
354,400,2024-02-17,3498,2024-02-17
355,435,2024-01-07,3443,2024-01-14
356,243,2024-01-03,1879,2024-01-06
357,327,2024-01-29,3071,2024-01-30
358,150,2024-02-13,4560,2024-02-16
359,430,2024-01-23,3361,2024-01-23
360,241,2024-01-13,3825,2024-01-13
361,146,2024-02-12,4991,2024-02-13
362,110,2024-01-04,2095,2024-01-07
363,164,2024-02-20,1781,2024-03-06
364,135,2024-02-23,1797,2024-03-04
365,400,2024-01-14,2791,2024-01-15
366,496,2024-01-10,123,2024-01-25
367,241,2024-02-24,1164,2024-02-24
368,376,2024-01-17,1000,2024-01-17
369,438,2024-02-25,1179,2024-02-25
370,107,2024-01-23,4923,2024-01-24
371,265,2024-01-02,2273,2024-01-02
372,126,2024-01-09,4409,2024-01-14
373,158,2024-02-17,4001,2024-02-17
374,329,2024-02-19,4304,2024-02-22
375,403,2024-01-07,4227,2024-01-14
376,213,2024-02-09,4371,2024-02-09
377,254,2024-01-30,598,2024-01-30
378,345,2024-02-24,3592,2024-02-29
379,451,2024-01-07,3733,2024-01-14
380,137,2024-02-27,2738,2024-02-27
381,411,2024-01-10,1133,2024-01-10
382,240,2024-02-09,4592,2024-02-24
383,464,2024-01-21,4993,2024-01-26
384,371,2024-01-19,4241,2024-01-26
385,409,2024-01-28,1037,2024-01-28
386,435,2024-02-11,1861,2024-02-21
387,320,2024-01-29,3489,2024-01-30
388,273,2024-02-22,3366,2024-02-29
389,312,2024-02-16,2660,2024-02-16
390,318,2024-01-21,3166,2024-01-23
391,178,2024-02-13,649,2024-02-20
392,146,2024-02-23,863,2024-02-23
393,321,2024-01-07,1165,2024-01-10
394,384,2024-01-04,4700,2024-01-19
395,387,2024-01-22,3465,2024-01-22
396,281,2024-02-25,521,2024-03-01
397,247,2024-02-08,2980,2024-02-10
398,153,2024-02-06,1842,2024-02-16
399,179,2024-02-12,1937,2024-02-19
400,155,2024-01-23,3111,2024-02-02
401,158,2024-02-18,4803,2024-02-20
402,215,2024-02-21,4695,2024-02-26
403,492,2024-02-22,4660,2024-03-08
404,113,2024-02-08,337,2024-02-10
405,192,2024-01-18,2883,2024-01-20
406,279,2024-01-01,1273,2024-01-01
407,389,2024-02-12,670,2024-02-17
408,172,2024-02-17,851,2024-02-17
409,482,2024-02-03,3181,2024-02-04
410,314,2024-01-30,1389,2024-02-02
411,289,2024-01-20,4749,2024-01-23
412,405,2024-01-06,1374,2024-01-06
413,180,2024-02-18,507,2024-03-04
414,445,2024-01-06,3729,2024-01-08
415,438,2024-01-28,3721,2024-02-04
416,312,2024-01-18,4297,2024-01-19
417,158,2024-01-23,1008,2024-01-28
418,245,2024-02-13,4086,2024-02-28
419,369,2024-02-12,472,2024-02-14
420,212,2024-01-26,548,2024-02-10
421,103,2024-01-14,1830,2024-01-16
422,492,2024-01-09,2471,2024-01-11
423,267,2024-01-08,4174,2024-01-08
424,482,2024-01-28,1158,2024-01-28
425,294,2024-02-04,4198,2024-02-05
426,386,2024-02-23,690,2024-02-26
427,303,2024-02-25,3673,2024-02-25
428,109,2024-01-30,2664,2024-01-30
429,394,2024-01-28,3413,2024-02-12
430,463,2024-02-10,2471,2024-02-15
431,158,2024-01-26,2760,2024-01-26
432,187,2024-02-21,3869,2024-03-07
433,453,2024-02-28,821,2024-03-02
434,323,2024-02-24,2093,2024-02-24
435,323,2024-02-07,4392,2024-02-12
436,140,2024-01-26,2881,2024-01-28
437,213,2024-01-22,725,2024-01-22
438,361,2024-02-10,4446,2024-02-10
439,361,2024-01-13,2976,2024-01-16
440,472,2024-02-22,2035,2024-02-22
441,152,2024-01-10,1716,2024-01-12
442,188,2024-02-08,717,2024-02-08
443,190,2024-02-19,3900,2024-02-26
444,486,2024-02-06,3777,2024-02-21
445,448,2024-02-29,2747,2024-03-15
446,421,2024-01-21,3702,2024-01-21
447,134,2024-01-31,2580,2024-02-07
448,240,2024-02-07,2983,2024-02-07
449,359,2024-01-05,3882,2024-01-07
450,331,2024-01-03,3120,2024-01-03
451,246,2024-01-05,4966,2024-01-05
452,359,2024-01-25,4854,2024-02-01
453,383,2024-02-20,3784,2024-02-20
454,392,2024-02-11,2733,2024-02-12
455,409,2024-01-31,1335,2024-02-10
456,131,2024-01-29,2913,2024-01-29
457,465,2024-01-06,1513,2024-01-16
458,120,2024-01-16,3699,2024-01-23
459,368,2024-02-03,1400,2024-02-18
460,286,2024-01-24,3273,2024-01-26
461,309,2024-02-19,4997,2024-02-22
462,126,2024-02-20,639,2024-02-23
463,268,2024-01-07,3266,2024-01-17
464,245,2024-01-17,1331,2024-02-01
465,270,2024-01-06,1258,2024-01-21
466,279,2024-01-20,1156,2024-01-25
467,404,2024-02-15,2636,2024-02-15
468,386,2024-01-25,1146,2024-01-28
469,443,2024-02-14,865,2024-02-24
470,430,2024-02-12,4265,2024-02-17
471,285,2024-01-02,2630,2024-01-05
472,192,2024-01-14,4083,2024-01-17
473,198,2024-01-15,1369,2024-01-15
474,139,2024-01-19,4258,2024-01-19
475,494,2024-02-04,409,2024-02-14
476,438,2024-01-22,1173,2024-02-06
477,405,2024-01-25,1429,2024-01-25
478,192,2024-02-23,1456,2024-03-09
479,469,2024-01-29,3465,2024-01-29
480,286,2024-02-13,3738,2024-02-14
481,412,2024-01-19,2016,2024-01-26
482,373,2024-01-16,3942,2024-01-18
483,199,2024-01-24,3709,2024-02-08
484,336,2024-02-19,3228,2024-02-21
485,357,2024-02-03,1427,2024-02-08
486,202,2024-02-21,1233,2024-03-07
487,228,2024-01-04,3140,2024-01-11
488,383,2024-02-29,4326,2024-02-29
489,163,2024-01-19,1413,2024-01-19
490,239,2024-01-29,1307,2024-02-08
491,323,2024-01-06,3795,2024-01-07
492,278,2024-02-29,3498,2024-02-29
493,127,2024-01-26,3163,2024-02-05
494,220,2024-01-25,3171,2024-01-25
495,214,2024-01-02,911,2024-01-05
496,465,2024-02-11,1296,2024-02-14
497,170,2024-01-03,3970,2024-01-05
498,456,2024-02-23,3942,2024-02-23
499,329,2024-02-09,749,2024-02-09
500,109,2024-01-17,1324,2024-01-18
501,380,2024-02-16,4423,2024-03-02
502,316,2024-01-08,2046,2024-01-10
503,254,2024-01-08,2053,2024-01-08
504,314,2024-02-10,3844,2024-02-25
505,132,2024-01-08,4988,2024-01-15
506,374,2024-01-02,4810,2024-01-12
507,223,2024-02-15,2486,2024-02-15
508,319,2024-01-01,2990,2024-01-16
509,223,2024-02-06,1634,2024-02-11
510,440,2024-02-12,4388,2024-02-12
511,284,2024-01-05,4557,2024-01-15
512,359,2024-02-20,4639,2024-03-01
513,110,2024-01-25,456,2024-02-01
514,425,2024-01-25,2177,2024-01-28
515,482,2024-01-02,653,2024-01-05
516,276,2024-01-16,4866,2024-01-16
517,476,2024-02-18,1192,2024-02-21
518,122,2024-01-23,2873,2024-02-02
519,429,2024-01-12,4020,2024-01-19
520,423,2024-01-12,616,2024-01-12
521,466,2024-02-19,402,2024-02-26
522,250,2024-01-13,1734,2024-01-13
523,121,2024-01-21,4322,2024-01-23
524,303,2024-02-22,3978,2024-03-03
525,229,2024-01-03,2443,2024-01-04
526,282,2024-02-25,2819,2024-02-25
527,239,2024-01-08,3679,2024-01-11
528,304,2024-02-17,3267,2024-02-24
529,273,2024-01-12,4175,2024-01-19
530,288,2024-02-29,2284,2024-03-10
531,142,2024-02-16,746,2024-02-21
532,320,2024-02-08,4568,2024-02-08
533,250,2024-01-21,755,2024-01-21
534,267,2024-02-12,2610,2024-02-14
535,328,2024-02-08,1465,2024-02-13
536,453,2024-01-29,3762,2024-02-01
537,121,2024-02-16,3663,2024-02-19
538,240,2024-02-10,714,2024-02-10
539,443,2024-02-10,3076,2024-02-15
540,362,2024-02-21,355,2024-02-21
541,173,2024-02-24,3689,2024-03-10
542,117,2024-01-09,2033,2024-01-09
543,498,2024-02-11,3066,2024-02-14
544,296,2024-02-06,1356,2024-02-06
545,447,2024-01-29,3147,2024-02-01
546,327,2024-02-18,4801,2024-02-18
547,170,2024-02-03,3360,2024-02-06
548,260,2024-02-11,2144,2024-02-13
549,158,2024-01-02,4188,2024-01-02
550,365,2024-01-25,1064,2024-02-04
551,234,2024-02-19,3755,2024-02-21
552,209,2024-02-09,4123,2024-02-11
553,202,2024-01-08,706,2024-01-08
554,331,2024-01-12,819,2024-01-19
555,449,2024-02-24,2946,2024-02-27
556,463,2024-01-05,4541,2024-01-15
557,248,2024-02-27,1390,2024-02-29
558,464,2024-02-15,3061,2024-02-15
559,360,2024-01-15,1746,2024-01-15
560,171,2024-01-16,315,2024-01-23
561,284,2024-02-05,3122,2024-02-20
562,339,2024-02-21,1163,2024-03-02
563,413,2024-02-26,638,2024-02-26
564,258,2024-01-26,4406,2024-02-02
565,310,2024-02-19,4809,2024-02-24
566,137,2024-01-09,707,2024-01-12
567,330,2024-01-30,2922,2024-02-09
568,165,2024-02-26,4915,2024-03-07
569,193,2024-02-19,3644,2024-02-19
570,357,2024-02-28,1117,2024-02-28
571,365,2024-01-10,1448,2024-01-12
572,182,2024-01-21,2934,2024-01-22
573,365,2024-02-27,746,2024-02-29
574,228,2024-01-13,2348,2024-01-23
575,164,2024-02-10,4470,2024-02-12
576,147,2024-02-02,4948,2024-02-02
577,397,2024-01-10,2865,2024-01-10
578,388,2024-01-03,765,2024-01-03
579,123,2024-02-11,2268,2024-02-26
580,433,2024-01-14,3512,2024-01-29
581,416,2024-02-10,4179,2024-02-10
582,421,2024-02-04,2574,2024-02-06
583,347,2024-01-16,2536,2024-01-21
584,332,2024-01-05,1394,2024-01-05
585,325,2024-01-27,3904,2024-02-03
586,204,2024-01-22,1276,2024-02-06
587,260,2024-02-25,2929,2024-02-28
588,304,2024-01-09,4318,2024-01-12
589,387,2024-01-07,2080,2024-01-10
590,338,2024-01-08,3783,2024-01-10
591,226,2024-01-10,514,2024-01-10
592,248,2024-01-25,3525,2024-02-09
593,227,2024-02-25,2782,2024-02-25
594,395,2024-02-16,1655,2024-02-19
595,490,2024-01-11,4316,2024-01-18
596,339,2024-02-01,4174,2024-02-03
597,111,2024-01-06,4240,2024-01-11
598,334,2024-01-16,4878,2024-01-17
599,280,2024-01-04,2404,2024-01-04
600,353,2024-02-08,2440,2024-02-15
601,374,2024-01-01,3630,2024-01-01
602,168,2024-02-26,3096,2024-02-28
603,491,2024-01-26,470,2024-01-29
604,305,2024-01-04,4702,2024-01-19
605,199,2024-01-24,2464,2024-02-03
606,137,2024-01-25,3789,2024-02-04
607,491,2024-02-05,1073,2024-02-07
608,165,2024-01-07,3157,2024-01-12
609,273,2024-02-05,1281,2024-02-08
610,201,2024-02-08,3388,2024-02-18
611,356,2024-01-03,418,2024-01-03
612,170,2024-02-15,3980,2024-02-18
613,365,2024-01-30,4323,2024-01-30
614,171,2024-01-21,2709,2024-02-05
615,183,2024-01-26,2551,2024-02-10
616,403,2024-01-22,4275,2024-02-01
617,372,2024-02-01,2555,2024-02-16
618,343,2024-02-22,3117,2024-02-22
619,269,2024-02-13,3512,2024-02-13
620,398,2024-01-20,4989,2024-01-20
621,342,2024-01-17,4831,2024-02-01
622,216,2024-02-16,4880,2024-02-16
623,345,2024-01-11,3214,2024-01-21
624,175,2024-02-22,358,2024-02-23
625,393,2024-02-14,1662,2024-02-14
626,109,2024-01-29,3530,2024-02-01
627,177,2024-01-27,3461,2024-01-28
628,356,2024-02-19,3963,2024-03-05
629,476,2024-02-16,1231,2024-02-16
630,365,2024-01-14,2762,2024-01-24
631,439,2024-01-31,3186,2024-02-10
632,260,2024-01-12,4467,2024-01-19
633,275,2024-02-04,2265,2024-02-07
634,412,2024-01-31,2119,2024-02-01
635,242,2024-02-05,1942,2024-02-07
636,252,2024-02-19,1798,2024-02-21
637,453,2024-02-15,2697,2024-02-22
638,345,2024-01-23,2340,2024-02-02
639,247,2024-01-08,4549,2024-01-23
640,294,2024-02-27,2927,2024-03-03
641,495,2024-02-21,2479,2024-02-21
642,121,2024-01-19,2937,2024-01-19
643,326,2024-02-11,4024,2024-02-13
644,209,2024-01-13,2321,2024-01-23
645,387,2024-02-14,1224,2024-02-16
646,155,2024-02-09,2060,2024-02-24
647,224,2024-01-04,1948,2024-01-14
648,426,2024-01-15,920,2024-01-15
649,311,2024-01-22,923,2024-01-29
650,448,2024-02-19,142,2024-02-19
651,381,2024-02-29,3433,2024-02-29
652,434,2024-02-29,4011,2024-03-07
653,433,2024-01-13,2731,2024-01-15
654,246,2024-02-11,832,2024-02-11
655,433,2024-02-06,4483,2024-02-07
656,478,2024-02-16,1534,2024-02-16
657,313,2024-02-26,397,2024-02-26
658,303,2024-02-20,1626,2024-02-27
659,483,2024-02-25,406,2024-02-27
660,104,2024-01-20,979,2024-02-04
661,271,2024-01-19,4550,2024-01-26
662,368,2024-02-01,4230,2024-02-01
663,339,2024-01-18,1022,2024-01-19
664,269,2024-01-11,2207,2024-01-18
665,467,2024-01-12,2861,2024-01-12
666,251,2024-02-06,1537,2024-02-07
667,412,2024-02-24,3603,2024-02-29
668,363,2024-01-21,3383,2024-01-21
669,442,2024-01-07,1251,2024-01-07
